0.0100000000 0.0050550801 0.0050807637 1.0165707033
0.0104737090 0.0052975446 0.0053257580 1.0175085013
0.0109698580 0.0055518136 0.0055828083 1.0184462992
0.0114895100 0.0058184812 0.0058525341 1.0194391448
0.0120337784 0.0060981741 0.0061355900 1.0204906865
0.0126038293 0.0063915527 0.0064326674 1.0216048473
0.0132008840 0.0066993142 0.0067444977 1.0227858469
0.0138262217 0.0070221942 0.0070718541 1.0240382268
0.0144811823 0.0073609697 0.0074155554 1.0253668764
0.0151671689 0.0077164617 0.0077764685 1.0267770626
0.0158856513 0.0080895380 0.0081555123 1.0282744609
0.0166381689 0.0084811169 0.0085536615 1.0298651893
0.0174263339 0.0088921700 0.0089719501 1.0315558456
0.0182518349 0.0093237267 0.0094114768 1.0333535469
0.0191164408 0.0097768782 0.0098734093 1.0352659729
0.0200220037 0.0102527817 0.0103589901 1.0373014122
0.0209704640 0.0107526659 0.0108695425 1.0394688126
0.0219638537 0.0112778365 0.0114064768 1.0417778350
0.0230043012 0.0118296816 0.0119712982 1.0442389114
0.0240940356 0.0124096792 0.0125656144 1.0468633065
0.0252353917 0.0130194039 0.0131911448 1.0496631844
0.0264308149 0.0136605355 0.0138497302 1.0526516791
0.0276828663 0.0143348675 0.0145433444 1.0558429697
0.0289942285 0.0150443172 0.0152741057 1.0592523591
0.0303677112 0.0157909371 0.0160442915 1.0628963581
0.0318062569 0.0165769264 0.0168563529 1.0667927727
0.0333129479 0.0174046451 0.0177129324 1.0709607946
0.0348910121 0.0182766291 0.0186168830 1.0754210957
0.0365438307 0.0191956071 0.0195712899 1.0801959232
0.0382749448 0.0201645192 0.0205794948 1.0853091973
0.0400880633 0.0211865383 0.0216451236 1.0907866074
0.0419870708 0.0222650934 0.0227721167 1.0966557066
0.0439760361 0.0234038958 0.0239647647 1.1029460019
0.0460592204 0.0246069691 0.0252277475 1.1096890371
0.0482410870 0.0258786815 0.0265661792 1.1169184652
0.0505263107 0.0272237832 0.0279856587 1.1246701068
0.0529197874 0.0286474471 0.0294923270 1.1329819889
0.0554266452 0.0301553158 0.0310929330 1.1418943588
0.0580522552 0.0317535525 0.0327949073 1.1514496672
0.0608022426 0.0334488993 0.0346064468 1.1616925119
0.0636824994 0.0352487412 0.0365366107 1.1726695346
0.0666991966 0.0371611781 0.0385954297 1.1844292607
0.0698587975 0.0391951047 0.0407940310 1.1970218711
0.0731680714 0.0413602989 0.0431447799 1.2104988966
0.0766341087 0.0436675200 0.0456614419 1.2249128198
0.0802643352 0.0461286163 0.0483593670 1.2403165748
0.0840665289 0.0487566446 0.0512557006 1.2567629303
0.0880488358 0.0515659989 0.0543696228 1.2743037447
0.0922197882 0.0545725512 0.0577226220 1.2929890830
0.0965883224 0.0577938034 0.0613388063 1.3128661851
0.1011637980 0.0612490482 0.0652452582 1.3339782817
0.1059560179 0.0649595400 0.0694724376 1.3563632550
0.1109752496 0.0689486715 0.0740546406 1.3800521490
0.1162322469 0.0732421549 0.0790305205 1.4050675406
0.1217382728 0.0778682005 0.0844436777 1.4314217899
0.1275051241 0.0828576893 0.0903433288 1.4591151992
0.1335451563 0.0882443290 0.0967850619 1.4881341199
0.1398713103 0.0940647841 0.1038316896 1.5184490567
0.1464971398 0.1003587656 0.1115542082 1.5500128288
0.1534368409 0.1071690637 0.1200328744 1.5827588609
0.1607052818 0.1145415041 0.1293584110 1.6165996789
0.1683180353 0.1225248018 0.1396333504 1.6514256954
0.1762914118 0.1311702871 0.1509735281 1.6871043688
0.1846424943 0.1405314713 0.1635097350 1.7234798158
0.1933891750 0.1506634209 0.1773895351 1.7603729501
0.2025501939 0.1616219057 0.1927792565 1.7975822035
0.2121451785 0.1734622920 0.2098661565 1.8348848678
0.2221946861 0.1862381542 0.2288607596 1.8720390715
0.2327202479 0.1999995917 0.2499993620 1.9087863760
0.2437444150 0.2147912528 0.2735466888 1.9448549521
0.2552908068 0.2306500891 0.2997986817 1.9799632649
0.2673841616 0.2476028926 0.3290853861 2.0138241757
0.2800503894 0.2656637031 0.3617738959 2.0461493468
0.2933166278 0.2848312058 0.3982713005 2.0766538249
0.3072112999 0.3050862792 0.4390275656 2.1050606722
0.3217641750 0.3263898800 0.4845382667 2.1311055189
0.3370064329 0.3486814712 0.5353470779 2.1545409180
0.3529707303 0.3718781989 0.5920479090 2.1751404008
0.3696912707 0.3958749991 0.6552865691 2.1927021491
0.3872038782 0.4205457666 0.7257618329 2.2070522202
0.4055460736 0.4457456426 0.8042257795 2.2180472805
0.4247571553 0.4713143859 0.8914832810 2.2255768196
0.4448782831 0.4970806870 0.9883905313 2.2295648313
0.4659525669 0.5228671924 1.0958525260 2.2299709548
0.4880251584 0.5484959259 1.2148194389 2.2267910760
0.5111433483 0.5737937513 1.3462818838 2.2200573885
0.5353566677 0.5985975158 1.4912651004 2.2098379145
0.5607169938 0.6227585489 1.6508221644 2.1962354858
0.5872786613 0.6461462621 1.8260263857 2.1793861851
0.6150985789 0.6686506890 2.0179631187 2.1594572510
0.6442363509 0.6901839051 2.2277212725 2.1366444603
0.6747544053 0.7106803658 2.4563848488 2.1111690110
0.7067181274 0.7300962790 2.7050248749 2.0832739464
0.7401959997 0.7484081851 2.9746921030 2.0532201797
0.7752597489 0.7656109463 3.2664108419 2.0212821983
0.8119844993 0.7817153537 3.5811742458 1.9877435466
0.8504489342 0.7967455438 3.9199413321 1.9528922016
0.8907354639 0.8107363915 4.2836359182 1.9170159673
0.9329304026 0.8237310090 4.6731475811 1.8803980181
0.9771241535 0.8357784457 5.0893346448 1.8433127182
1.0234114021 0.8469316478 5.5330291070 1.8060218331
1.0718913192 0.8572457081 6.0050433300 1.7687712316
1.1226677735 0.8667764118 6.5061782511 1.7317881528
1.1758495541 0.8755790677 7.0372328143 1.6952790877
1.2315506033 0.8837076012 7.5990142991 1.6594282942
1.2898902613 0.8912138805 8.1923492104 1.6243969370
1.3509935212 0.8981472414 8.8180944118 1.5903228227
1.4149912974 0.9045541802 9.4771482092 1.5573206730
1.4820207058 0.9104781810 10.1704611387 1.5254828708
1.5522253574 0.9159596510 10.8990462599 1.4948805971
1.6257556664 0.9210359378 11.6639888129 1.4655652768
1.7027691722 0.9257414079 12.4664551475 1.4375702491
1.7834308769 0.9301075688 13.3077008854 1.4109125828
1.8679135990 0.9341632205 14.1890783176 1.3855949651
1.9563983435 0.9379346247 15.1120430752 1.3616076004
2.0490746898 0.9414456832 16.0781601408 1.3389300662
2.1461411979 0.9447181183 17.0891092851 1.3175330868
2.2478058335 0.9477716515 18.1466900281 1.2973801917
2.3542864143 0.9506241752 19.2528262285 1.2784292373
2.4658110758 0.9532919166 20.4095704061 1.2606337816
2.5826187607 0.9557895915 21.6191079007 1.2439443032
2.7049597305 0.9581305473 22.8837609624 1.2283092668
2.8330961018 0.9603268951 24.2059928617 1.2136760398
2.9673024082 0.9623896306 25.5884121004 1.1999916670
3.1078661878 0.9643287450 27.0337767914 1.1872035159
