0.0100000000 0.9979232403 0.0019958465 0.0000009979 0.0000798339 0.0000000798 0.0000000016
0.0104737090 0.9978210666 0.0020901775 0.0000010946 0.0000875676 0.0000000917 0.0000000019
0.0109698580 0.9977136861 0.0021889555 0.0000012006 0.0000960501 0.0000001054 0.0000000023
0.0114895100 0.9976008166 0.0022923889 0.0000013169 0.0001053537 0.0000001210 0.0000000028
0.0120337784 0.9974821595 0.0024006959 0.0000014445 0.0001155578 0.0000001391 0.0000000033
0.0126038293 0.9973573980 0.0025141045 0.0000015844 0.0001267494 0.0000001598 0.0000000040
0.0132008840 0.9972261964 0.0026328535 0.0000017378 0.0001390240 0.0000001835 0.0000000048
0.0138262217 0.9970881985 0.0027571925 0.0000019061 0.0001524862 0.0000002108 0.0000000058
0.0144811823 0.9969430266 0.0028873827 0.0000020906 0.0001672509 0.0000002422 0.0000000070
0.0151671689 0.9967902793 0.0030236973 0.0000022930 0.0001834437 0.0000002782 0.0000000084
0.0158856513 0.9966295307 0.0031664218 0.0000025150 0.0002012027 0.0000003196 0.0000000102
0.0166381689 0.9964603281 0.0033158550 0.0000027585 0.0002206790 0.0000003672 0.0000000122
0.0174263339 0.9962821903 0.0034723092 0.0000030255 0.0002420385 0.0000004218 0.0000000147
0.0182518349 0.9960946059 0.0036361109 0.0000033183 0.0002654628 0.0000004845 0.0000000177
0.0191164408 0.9958970303 0.0038076013 0.0000036394 0.0002911511 0.0000005566 0.0000000213
0.0200220037 0.9956888843 0.0039871373 0.0000039915 0.0003193219 0.0000006393 0.0000000256
0.0209704640 0.9954695510 0.0041750917 0.0000043777 0.0003502144 0.0000007344 0.0000000308
0.0219638537 0.9952383731 0.0043718540 0.0000048011 0.0003840910 0.0000008436 0.0000000371
0.0230043012 0.9949946503 0.0045778313 0.0000052655 0.0004212392 0.0000009690 0.0000000446
0.0240940356 0.9947376357 0.0047934488 0.0000057747 0.0004619741 0.0000011131 0.0000000536
0.0252353917 0.9944665325 0.0050191505 0.0000063330 0.0005066409 0.0000012785 0.0000000645
0.0264308149 0.9941804905 0.0052554001 0.0000069452 0.0005556180 0.0000014685 0.0000000776
0.0276828663 0.9938786016 0.0055026817 0.0000076165 0.0006093200 0.0000016868 0.0000000934
0.0289942285 0.9935598962 0.0057615005 0.0000083525 0.0006682011 0.0000019374 0.0000001123
0.0303677112 0.9932233375 0.0060323839 0.0000091595 0.0007327588 0.0000022252 0.0000001351
0.0318062569 0.9928678174 0.0063158818 0.0000100442 0.0008035382 0.0000025558 0.0000001626
0.0333129479 0.9924921505 0.0066125679 0.0000110142 0.0008811365 0.0000029353 0.0000001956
0.0348910121 0.9920950682 0.0069230402 0.0000120776 0.0009662075 0.0000033712 0.0000002352
0.0365438307 0.9916752124 0.0072479222 0.0000132433 0.0010594674 0.0000038717 0.0000002830
0.0382749448 0.9912311284 0.0075878633 0.0000145213 0.0011617002 0.0000044464 0.0000003404
0.0400880633 0.9907612577 0.0079435400 0.0000159221 0.0012737645 0.0000051063 0.0000004094
0.0419870708 0.9902639296 0.0083156564 0.0000174575 0.0013966002 0.0000058639 0.0000004924
0.0439760361 0.9897373525 0.0087049451 0.0000191404 0.0015312359 0.0000067338 0.0000005922
0.0460592204 0.9891796046 0.0091121683 0.0000209850 0.0016787975 0.0000077324 0.0000007123
0.0482410870 0.9885886234 0.0095381180 0.0000230065 0.0018405167 0.0000088789 0.0000008567
0.0505263107 0.9879621948 0.0099836170 0.0000252218 0.0020177413 0.0000101949 0.0000010302
0.0529197874 0.9872979414 0.0104495194 0.0000276493 0.0022119454 0.0000117056 0.0000012389
0.0554266452 0.9865933090 0.0109367115 0.0000303093 0.0024247409 0.0000134395 0.0000014898
0.0580522552 0.9858455534 0.0114461115 0.0000332236 0.0026578903 0.0000154297 0.0000017915
0.0608022426 0.9850517248 0.0119786708 0.0000364165 0.0029133202 0.0000177136 0.0000021541
0.0636824994 0.9842086522 0.0125353734 0.0000399142 0.0031931356 0.0000203347 0.0000025899
0.0666991966 0.9833129255 0.0131172364 0.0000437455 0.0034996365 0.0000233423 0.0000031138
0.0698587975 0.9823608772 0.0137253099 0.0000479417 0.0038353346 0.0000267932 0.0000037435
0.0731680714 0.9813485620 0.0143606763 0.0000525371 0.0042029720 0.0000307523 0.0000045002
0.0766341087 0.9802717356 0.0150244501 0.0000575693 0.0046055414 0.0000352942 0.0000054095
0.0802643352 0.9791258309 0.0157177768 0.0000630788 0.0050463076 0.0000405039 0.0000065020
0.0840665289 0.9779059337 0.0164418315 0.0000691104 0.0055288308 0.0000464790 0.0000078146
0.0880488358 0.9766067562 0.0171978176 0.0000757124 0.0060569913 0.0000533311 0.0000093915
0.0922197882 0.9752226081 0.0179869645 0.0000829377 0.0066350162 0.0000611880 0.0000112855
0.0965883224 0.9737473672 0.0188105249 0.0000908439 0.0072675082 0.0000701956 0.0000135602
0.1011637980 0.9721744467 0.0196697719 0.0000994934 0.0079594753 0.0000805211 0.0000162916
0.1059560179 0.9704967612 0.0205659944 0.0001089545 0.0087163635 0.0000923551 0.0000195712
0.1109752496 0.9687066912 0.0215004934 0.0001193011 0.0095440905 0.0001059158 0.0000235081
0.1162322469 0.9667960443 0.0224745753 0.0001306135 0.0104490815 0.0001214520 0.0000282333
0.1217382728 0.9647560162 0.0234895462 0.0001429788 0.0114383071 0.0001392480 0.0000339036
0.1275051241 0.9625771482 0.0245467037 0.0001564915 0.0125193220 0.0001596278 0.0000407067
0.1335451563 0.9602492842 0.0256473281 0.0001712538 0.0137003058 0.0001829609 0.0000488671
0.1398713103 0.9577615255 0.0267926719 0.0001873763 0.0149901045 0.0002096686 0.0000586532
0.1464971398 0.9551021847 0.0279839477 0.0002049784 0.0163982732 0.0002402300 0.0000703860
0.1534368409 0.9522587384 0.0292223145 0.0002241890 0.0179351185 0.0002751908 0.0000844488
0.1607052818 0.9492177796 0.0305088622 0.0002451468 0.0196117412 0.0003151710 0.0001012993
0.1683180353 0.9459649699 0.0318445930 0.0002680010 0.0214400773 0.0003608752 0.0001214836
0.1762914118 0.9424849929 0.0332304020 0.0002929117 0.0234329379 0.0004131026 0.0001456529
0.1846424943 0.9387615089 0.0346670533 0.0003200506 0.0256040448 0.0004727595 0.0001745830
0.1933891750 0.9347771123 0.0361551549 0.0003496008 0.0279680623 0.0005408721 0.0002091976
0.2025501939 0.9305132930 0.0376951296 0.0003817578 0.0305406232 0.0006186009 0.0002505955
0.2121451785 0.9259504032 0.0392871827 0.0004167293 0.0333383456 0.0007072569 0.0003000823
0.2221946861 0.9210676314 0.0409312666 0.0004547355 0.0363788398 0.0008083185 0.0003592081
0.2327202479 0.9158429859 0.0426270413 0.0004960088 0.0396807025 0.0009234503 0.0004298112
0.2437444150 0.9102532893 0.0443738311 0.0005407937 0.0432634940 0.0010545235 0.0005140684
0.2552908068 0.9042741881 0.0461705774 0.0005893462 0.0471476958 0.0012036373 0.0006145551
0.2673841616 0.8978801798 0.0480157878 0.0006419331 0.0513546447 0.0013731419 0.0007343128
0.2800503894 0.8910446605 0.0499074808 0.0006988305 0.0559064378 0.0015656620 0.0008769285
0.2933166278 0.8837399979 0.0518431272 0.0007603226 0.0608258050 0.0017841220 0.0010466253
0.3072112999 0.8759376339 0.0538195878 0.0008266993 0.0661359421 0.0020317709 0.0012483659
0.3217641750 0.8676082205 0.0558330487 0.0008982537 0.0718602994 0.0023122070 0.0014879708
0.3370064329 0.8587217948 0.0578789538 0.0009752790 0.0780223190 0.0026294023 0.0017722510
0.3529707303 0.8492479988 0.0599519373 0.0010580640 0.0846451163 0.0029877249 0.0021091588
0.3696912707 0.8391563472 0.0620457553 0.0011468887 0.0917510964 0.0033919579 0.0025079545
0.3872038782 0.8284165510 0.0641532203 0.0012420188 0.0993615027 0.0038473159 0.0029793913
0.4055460736 0.8169988997 0.0662661392 0.0013436986 0.1074958902 0.0043594536 0.0035359186
0.4247571553 0.8048747071 0.0683752582 0.0014521440 0.1161715206 0.0049344685 0.0041919016
0.4448782831 0.7920168239 0.0704702170 0.0015675335 0.1254026765 0.0055788927 0.0049638565
0.4659525669 0.7784002185 0.0725395160 0.0016899987 0.1351998947 0.0062996738 0.0058706984
0.4880251584 0.7640026271 0.0745705006 0.0018196140 0.1455691215 0.0071041394 0.0069339975
0.5111433483 0.7488052679 0.0765493664 0.0019563850 0.1565107978 0.0079999453 0.0081782377
0.5353566677 0.7327936170 0.0784611898 0.0021002361 0.1680188845 0.0089950030 0.0096310697
0.5607169938 0.7159582339 0.0802899897 0.0022509981 0.1800798467 0.0100973830 0.0113235485
0.5872786613 0.6982956244 0.0820188239 0.0024083953 0.1926716204 0.0113151931 0.0132903429
0.6150985789 0.6798091216 0.0836299249 0.0025720324 0.2057625919 0.0126564278 0.0155699015
0.6442363509 0.6605097628 0.0851048799 0.0027413829 0.2193106290 0.0141287879 0.0182045576
0.6747544053 0.6404171320 0.0864248562 0.0029157776 0.2332622098 0.0157394704 0.0212405539
0.7067181274 0.6195601348 0.0875708757 0.0030943963 0.2475517010 0.0174949275 0.0247279647
0.7401959997 0.5979776679 0.0885241355 0.0032762605 0.2621008440 0.0194005996 0.0287204925
0.7752597489 0.5757191405 0.0892663753 0.0034602314 0.2768185106 0.0214606249 0.0332751173
0.8119844993 0.5528448058 0.0897802826 0.0036450099 0.2916007912 0.0236775322 0.0384515783
0.8504489342 0.5294258577 0.0900499313 0.0038291434 0.3063314723 0.0260519274 0.0443116678
0.8907354639 0.5055442541 0.0900612391 0.0040110370 0.3208829585 0.0285821831 0.0509183282
0.9329304026 0.4812922323 0.0898024312 0.0041889709 0.3351176732 0.0312641466 0.0583345457
0.9771241535 0.4567714928 0.0892644917 0.0043611245 0.3488899634 0.0340908810 0.0666220465
