0.000000  9.807513
0.000775  9.478870
0.002103  9.001667
0.002170  8.979982
0.003895  8.481094
0.004206  8.400947
0.006043  7.982206
0.006310  7.926824
0.008413  7.537573
0.008742  7.483318
0.010516  7.208145
0.012171  6.984430
0.012619  6.926639
0.014723  6.678264
0.016584  6.485542
0.016826  6.461179
0.018929  6.263156
0.021032  6.087159
0.022348  5.986655
0.023136  5.926899
0.025239  5.777860
0.027342  5.642585
0.029445  5.519252
0.030014  5.487767
0.031549  5.401550
0.033652  5.291429
0.035755  5.189632
0.037858  5.095248
0.039962  5.007497
0.040428  4.988879
0.042065  4.921311
0.044168  4.839418
0.046271  4.762574
0.048375  4.690327
0.050478  4.622276
0.052581  4.558064
0.054684  4.497377
0.054948  4.489991
0.056788  4.435810
0.058891  4.376777
0.060994  4.320650
0.063097  4.267218
0.065201  4.216292
0.067304  4.167700
0.069407  4.121284
0.071510  4.076901
0.073614  4.034422
0.075717  3.993725
0.075855  3.991103
0.077820  3.951124
0.079923  3.909944
0.082026  3.870341
0.084130  3.832228
0.086233  3.795522
0.088336  3.760147
0.090439  3.726030
0.092543  3.693107
0.094646  3.661315
0.096749  3.630598
0.098852  3.600900
0.100956  3.572174
0.103059  3.544371
0.105162  3.517447
