-1.1 0.5 
-1.07778 0.509794 
-1.05556 0.518735 
-1.03333 0.526831 
-1.01111 0.534085 
-0.988889 0.540503 
-0.966666 0.546088 
-0.944444 0.550844 
-0.922222 0.554774 
-0.9 0.557879 
-0.877778 0.560162 
-0.855555 0.561625 
-0.833333 0.562269 
-0.811111 0.562096 
-0.788889 0.561108 
-0.766666 0.559305 
-0.744444 0.55669 
-0.722222 0.553266 
-0.7 0.549034 
-0.677778 0.543998 
-0.655555 0.53816 
-0.633333 0.531527 
-0.611111 0.524101 
-0.588889 0.51589 
-0.566666 0.506901 
-0.544444 0.49714 
-0.522222 0.486618 
-0.5 0.475345 
-0.477778 0.463331 
-0.455555 0.450591 
-0.433333 0.437139 
-0.411111 0.422991 
-0.388889 0.408165 
-0.366666 0.392679 
-0.344444 0.376556 
-0.322222 0.359818 
-0.3 0.342489 
-0.277778 0.324596 
-0.255555 0.306166 
-0.233333 0.28723 
-0.211111 0.267819 
-0.188889 0.247966 
-0.166667 0.227705 
-0.144444 0.207072 
-0.122222 0.186106 
-0.0999998 0.164844 
-0.0777776 0.143327 
-0.0555554 0.121595 
-0.0333332 0.099691 
-0.011111 0.0776564 
0.0111113 0.0555346 
0.0333335 0.033369 
0.0555557 0.0112036 
0.0777779 -0.0109181 
0.1 -0.0329522 
0.122222 -0.0548554 
0.144445 -0.0765847 
0.166667 -0.0980979 
0.188889 -0.119353 
0.211111 -0.14031 
0.233333 -0.160929 
0.255556 -0.181171 
0.277778 -0.201 
0.3 -0.220379 
0.322222 -0.239275 
0.344445 -0.257654 
0.366667 -0.275485 
0.388889 -0.29274 
0.411111 -0.309391 
0.433333 -0.32541 
0.455556 -0.340775 
0.477778 -0.355463 
0.5 -0.369452 
0.522222 -0.382724 
0.544445 -0.39526 
0.566667 -0.407045 
0.588889 -0.418064 
0.611111 -0.428304 
0.633334 -0.437754 
0.655556 -0.446402 
0.677778 -0.454238 
0.7 -0.461256 
0.722222 -0.467447 
0.744445 -0.472805 
0.766667 -0.477323 
0.788889 -0.480998 
0.811111 -0.483824 
0.833333 -0.485797 
0.855556 -0.486914 
0.877778 -0.487171 
0.9 -0.486565 
0.922222 -0.485092 
0.944445 -0.48275 
0.966667 -0.479535 
0.988889 -0.475442 
1.01111 -0.470469 
1.03333 -0.46461 
1.05556 -0.457861 
1.07778 -0.450215 
1.1 -0.441667 
